Site,Procedure,pct_plant,pct_rock,stddev_TC,stddev_OC,stddev_IC,d_plant,d_rock
L,P0,0.048,0.98,0.285254273,0.260576284,0.094445752,0.004,0
L,P1,0.052,0.228,0.175442298,0.169056204,0.021908902,0,0.752
L,P2,0.022,0.796,0.152249795,0.148996644,0.047222876,0.03,0.184
L,P3,0,0,0.267824569,0.22627417,0.087920419,0.052,0.98
K,P0,0.042,1.136,0.190473095,0.189129585,0.0083666,0,2.644
K,P1,0.032,0.568,0.118025421,0.101636608,0.054954527,0.01,3.212
K,P2,0.006,3.78,0.20413231,0.196086716,0.013038405,0.036,0
K,P3,0.002,0.724,0.106160256,0.109178753,0.032093613,0.04,3.056
J,P0,0.04,0.066,0.161183126,0.161183126,0,0.094,0
J,P1,0.134,0,0.064961527,0.064961527,0,0,0.066
J,P2,0.048,0.04,0.194087609,0.194087609,0,0.086,0.026
J,P3,0.09,0,0.532541078,0.532541078,0,0.044,0.066
I,P0,0.116,0.028,0.101390335,0.101390335,0,0,0.004
I,P1,0.072,0,0.084261498,0.084261498,0,0.044,0.032
I,P2,0.012,0.032,0.053665631,0.053665631,0,0.104,0
I,P3,0.036,0,0.156620561,0.156620561,0,0.08,0.032
H,P0,0.988,12.02,0.040373258,0.447805761,0.424888221,0.158,2.364
H,P1,0.918,5.778,0.139570771,0.290981099,0.18915602,0.228,8.606
H,P2,1.146,14.384,0.33551453,0.733096174,0.482566058,0,0
H,P3,0.334,11.58,0.824184445,0.999934998,0.406361908,0.812,2.804
G,P0,0.38,0.85,0.084557673,0.084557673,0,0,0
G,P1,0.29,0.13,0.067601775,0.067601775,0,0.09,0.72
G,P2,0.134,0.732,0.056302753,0.056302753,0,0.246,0.118
G,P3,0.068,0.208,0.153785565,0.153785565,0,0.312,0.642
F,P0,0.15,4.096,0.046151923,0.046151923,0,0,0
F,P1,0.092,2.894,0.026832816,0.026832816,0,0.058,1.202
F,P2,0.026,4.056,0.031304952,0.031304952,0,0.124,0.04
F,P3,0.006,2.324,0.078421936,0.078421936,0,0.144,1.772
E,P0,0.25,0.14,0.046151923,0.046151923,0,0,0
E,P1,0.12,0,0.055946403,0.055946403,0,0.13,0.14
E,P2,0.028,0.004,0.035777088,0.035777088,0,0.222,0.136
E,P3,0.046,0,0.057271284,0.057271284,0,0.204,0.14
D,P0,0.042,0.126,0.055497748,0.049699095,0.016431677,0.066,0.266
D,P1,0.078,0.156,0.042071368,0.055407581,0.029154759,0.03,0.236
D,P2,0.108,0.314,0.023452079,0.040373258,0.021908902,0,0.078
D,P3,0.016,0.392,0.04929503,0.052630789,0.015165751,0.092,0
C,P0,0.308,4.726,0.086486993,0.086486993,0,0,0.91
C,P1,0.284,2.028,0.082643814,0.082643814,0,0.024,3.608
C,P2,0.15,5.636,0.056302753,0.056302753,0,0.158,0
C,P3,0.062,2.284,0.054497706,0.054497706,0,0.246,3.352
B,P0,0.346,0.308,0.356693145,0.453839179,0.107563934,0,0
B,P1,0.336,0.21,0.686898828,0.740965586,0.055677644,0.01,0.098
B,P2,0.34,0.11,0.187803088,0.209093281,0.034351128,0.006,0.198
B,P3,0.116,0,0.47141277,0.479499739,0.019493589,0.23,0.308
A,P0,0.218,1.13,0.302902625,0.276947648,0.041833001,0.04,0.676
A,P1,0.258,0.322,0.333811324,0.334140689,0.067305275,0,1.484
A,P2,0.166,1.806,0.169793993,0.136565003,0.071274119,0.092,0
A,P3,0.118,0.33,0.581910646,0.628991256,0.096280839,0.14,1.476
